word,meaning,source_sentence,target_sentence,input_text,target_text
Lệt xệt Lệt phệt,"Kéo lê lết, xệt dưới nền",Vác bao đồ đi lệt xệt,Vác bao đồ đi lê lết phía sau,"Lệt xệt Lệt phệt [SEP] Kéo lê lết, xệt dưới nền [SEP] Vác bao đồ đi lệt xệt",Vác bao đồ đi lê lết phía sau
Ót (2),"Uống cạn sạch, hết nhẵn.","làm cái ót nguyên li, anh uống nửa cái coi sao được.","uống một hơi cạn sạch ly, anh uống nửa ly sao coi được.","Ót (2) [SEP] Uống cạn sạch, hết nhẵn. [SEP] làm cái ót nguyên li, anh uống nửa cái coi sao được.","uống một hơi cạn sạch ly, anh uống nửa ly sao coi được."
Chài bải,"Hay la lối, gào thét càm ràm vì bực tức.","Con nhỏ đó tối ngày cái miệng cứ chài bải, không kéo da non.","Cô bé ấy cả ngày cái miệng cứ la lối gắt gỏng không ngớt, chẳng lúc nào được yên tĩnh.","Chài bải [SEP] Hay la lối, gào thét càm ràm vì bực tức. [SEP] Con nhỏ đó tối ngày cái miệng cứ chài bải, không kéo da non.","Cô bé ấy cả ngày cái miệng cứ la lối gắt gỏng không ngớt, chẳng lúc nào được yên tĩnh."
Chỉ mũi,Đi thẳng vào vấn đề Chỉ điểm,"có gì thì anh cứ nói chỉ mũi đi, Thằng đó là cái thằng chỉ mũi đó","có gì thì anh cứ nói huỵch toẹt ra đi, Kẻ đó là kẻ chỉ điểm đấy","Chỉ mũi [SEP] Đi thẳng vào vấn đề Chỉ điểm [SEP] có gì thì anh cứ nói chỉ mũi đi, Thằng đó là cái thằng chỉ mũi đó","có gì thì anh cứ nói huỵch toẹt ra đi, Kẻ đó là kẻ chỉ điểm đấy"
Chành bành,"Banh rộng ra tung tóe, vung vãi, bừa bãi khắp nơi.",Con gái con đứa cười cái miệng chành bành coi vô duyên hết sức.,Con gái con đứa cười há miệng rộng toang hoác trông vô duyên hết sức.,"Chành bành [SEP] Banh rộng ra tung tóe, vung vãi, bừa bãi khắp nơi. [SEP] Con gái con đứa cười cái miệng chành bành coi vô duyên hết sức.",Con gái con đứa cười há miệng rộng toang hoác trông vô duyên hết sức.
Chân không,"Đi chân đất, không mang giày dép",Trời nắng chang chang vầy mà con đi chân không bộ không sợ nóng chân sao,Trời nắng gay gắt thế này mà con đi chân đất không sợ nóng chân sao,"Chân không [SEP] Đi chân đất, không mang giày dép [SEP] Trời nắng chang chang vầy mà con đi chân không bộ không sợ nóng chân sao",Trời nắng gay gắt thế này mà con đi chân đất không sợ nóng chân sao
Tần sại,Cải muối ăn cháo,Cháo này có tần sại ngon thiệt.,Cháo này có cải muối ngon thật.,Tần sại [SEP] Cải muối ăn cháo [SEP] Cháo này có tần sại ngon thiệt.,Cháo này có cải muối ngon thật.
Um sùm thiên địa,Ồn ào vang động,"Con Lan hay nói tới chuyện um sùm thiên địa hoài, tao quen tai rồi.","Con Lan hay nói tới chuyện ồn ào vang động mãi, tớ quen tai rồi.","Um sùm thiên địa [SEP] Ồn ào vang động [SEP] Con Lan hay nói tới chuyện um sùm thiên địa hoài, tao quen tai rồi.","Con Lan hay nói tới chuyện ồn ào vang động mãi, tớ quen tai rồi."
Mát cô đơn,"Thất tình sinh ra lẩn thẩn, hâm hâm.",Bị bồ bỏ đâm ra mát cô đơn sao cha nội.,Bị người yêu bỏ đâm ra ngớ ngẩn rồi hả ông anh.,"Mát cô đơn [SEP] Thất tình sinh ra lẩn thẩn, hâm hâm. [SEP] Bị bồ bỏ đâm ra mát cô đơn sao cha nội.",Bị người yêu bỏ đâm ra ngớ ngẩn rồi hả ông anh.
Nhà ma,Nhà bỏ hoang không ai ở Nhà vọng lâu cất ven rạch để hóng mát.,Chỉ có ngôi nhà ma đó là không có người,Chỉ có ngôi nhà hoang đó là không có người,Nhà ma [SEP] Nhà bỏ hoang không ai ở Nhà vọng lâu cất ven rạch để hóng mát. [SEP] Chỉ có ngôi nhà ma đó là không có người,Chỉ có ngôi nhà hoang đó là không có người
Heo hơi,Heo cân bán nguyên con cho thương lái.,Heo hơi lúc này nó mua bao nhiêu một tạ rồi chị?,Lợn bán hơi dạo này thương lái thu mua bao nhiêu tiền một tạ vậy chị?,Heo hơi [SEP] Heo cân bán nguyên con cho thương lái. [SEP] Heo hơi lúc này nó mua bao nhiêu một tạ rồi chị?,Lợn bán hơi dạo này thương lái thu mua bao nhiêu tiền một tạ vậy chị?
Khỏi,"Thôi, không cần đi vắng không cần bảo, miễn bàn.",Tui làm là khỏi nói.,Tôi làm thì miễn bàn.,"Khỏi [SEP] Thôi, không cần đi vắng không cần bảo, miễn bàn. [SEP] Tui làm là khỏi nói.",Tôi làm thì miễn bàn.
Quạu quọ,Cáu bẳn vô lý,Làm gì mà suốt ngày cứ quạu quọ hoài.,Làm gì mà suốt ngày cứ cau có thế.,Quạu quọ [SEP] Cáu bẳn vô lý [SEP] Làm gì mà suốt ngày cứ quạu quọ hoài.,Làm gì mà suốt ngày cứ cau có thế.
Xệ Xệ độ,Tồi tệ mắc cỡ,Làm vậy nhìn xệ lắm đó nghen.,Làm thế trông kém/quê lắm đấy nhé.,Xệ Xệ độ [SEP] Tồi tệ mắc cỡ [SEP] Làm vậy nhìn xệ lắm đó nghen.,Làm thế trông kém/quê lắm đấy nhé.
Mới cắt chỉ,"Mới nguyên, chưa dùng đến.",Hàng mới cắt chỉ đảm bảo một trăm phần trăm.,Hàng mới bóc tem đảm bảo một trăm phần trăm.,"Mới cắt chỉ [SEP] Mới nguyên, chưa dùng đến. [SEP] Hàng mới cắt chỉ đảm bảo một trăm phần trăm.",Hàng mới bóc tem đảm bảo một trăm phần trăm.
Vùa Vùa công,Bát Hợp sức giúp nhau,Nhờ bà con vùa công mới xong việc.,Nhờ bà con chung sức mới xong việc.,Vùa Vùa công [SEP] Bát Hợp sức giúp nhau [SEP] Nhờ bà con vùa công mới xong việc.,Nhờ bà con chung sức mới xong việc.
Xấu đứa,Ngoại hình không đẹp,"Tao học được cái xấu đứa này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái ngoại hình không đẹp này từ hồi nhỏ, giờ vẫn nhớ.","Xấu đứa [SEP] Ngoại hình không đẹp [SEP] Tao học được cái xấu đứa này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái ngoại hình không đẹp này từ hồi nhỏ, giờ vẫn nhớ."
Nong nả,"Vội vã, tất tưởi.","Đi đâu mà nong nả vậy chị Ba, ghé nhà uống chén nước cái kìa.","Đi đâu mà tất tưởi thế chị Ba, tạt vào nhà uống chén nước đã.","Nong nả [SEP] Vội vã, tất tưởi. [SEP] Đi đâu mà nong nả vậy chị Ba, ghé nhà uống chén nước cái kìa.","Đi đâu mà tất tưởi thế chị Ba, tạt vào nhà uống chén nước đã."
Nghỉnh,"Nghênh, nghênh mặt, kiêu căng, ngang tàng nghênh đón trọng thể Lễ hội rước cá Ông.",Mặt nó lúc nào cũng nghỉnh nghỉnh,Mặt nó lúc nào cũng khinh khỉnh,"Nghỉnh [SEP] Nghênh, nghênh mặt, kiêu căng, ngang tàng nghênh đón trọng thể Lễ hội rước cá Ông. [SEP] Mặt nó lúc nào cũng nghỉnh nghỉnh",Mặt nó lúc nào cũng khinh khỉnh
Bồ (động từ),"Yêu nhau, cặp kè Kết bạn thân",Hai con nhỏ ấy bồ với nhau từ ngày học ở quê,Hai cô bé ấy chơi thân với nhau từ ngày học ở quê,"Bồ (động từ) [SEP] Yêu nhau, cặp kè Kết bạn thân [SEP] Hai con nhỏ ấy bồ với nhau từ ngày học ở quê",Hai cô bé ấy chơi thân với nhau từ ngày học ở quê
Coi vọi,Nhìn ra xa mà phỏng đoán,"Đầu hôm giờ, trời chớp hướng đó liên tục, coi vọi phía đó đang có mưa thì phải","Tối đến giờ thấy phía đó chớp giật liên tục, nhìn từ xa phỏng đoán chắc đằng kia đang mưa to","Coi vọi [SEP] Nhìn ra xa mà phỏng đoán [SEP] Đầu hôm giờ, trời chớp hướng đó liên tục, coi vọi phía đó đang có mưa thì phải","Tối đến giờ thấy phía đó chớp giật liên tục, nhìn từ xa phỏng đoán chắc đằng kia đang mưa to"
Bông mo,Số không của xe máy (point mort),"Xe Hon đa không nổ máy muốn dẫn đi, phải trả bông mo","Xe máy không nổ máy muốn dắt đi, phải trả về số không","Bông mo [SEP] Số không của xe máy (point mort) [SEP] Xe Hon đa không nổ máy muốn dẫn đi, phải trả bông mo","Xe máy không nổ máy muốn dắt đi, phải trả về số không"
Tù ti tú tí,Tâm sự lén lút,Tụi bây thấy tù ti tú tí không? Tao thấy từ hồi nãy rồi.,Các bạn thấy tâm sự lén lút không? Tớ thấy từ nãy rồi.,Tù ti tú tí [SEP] Tâm sự lén lút [SEP] Tụi bây thấy tù ti tú tí không? Tao thấy từ hồi nãy rồi.,Các bạn thấy tâm sự lén lút không? Tớ thấy từ nãy rồi.
Mắc mớp,"Bị hớ, mắc lừa.",Bao nhiêu người bị mắc mớp cái mửng bán thuốc dạo rồi,Bao nhiêu người bị mắc lừa cái trò bán thuốc dạo rồi,"Mắc mớp [SEP] Bị hớ, mắc lừa. [SEP] Bao nhiêu người bị mắc mớp cái mửng bán thuốc dạo rồi",Bao nhiêu người bị mắc lừa cái trò bán thuốc dạo rồi
Bồng con,Nước cốt dừa bị lợn cợn đóng cục,"Nước cốt dừa thắng mà bị bồng con, ăn còn ra gì nữa","Nước cốt dừa đun mà bị đóng cục, ăn còn ra gì nữa","Bồng con [SEP] Nước cốt dừa bị lợn cợn đóng cục [SEP] Nước cốt dừa thắng mà bị bồng con, ăn còn ra gì nữa","Nước cốt dừa đun mà bị đóng cục, ăn còn ra gì nữa"
Móm xọm,Móm mém má hõm cằm nhô.,"Chưa tới sáu mươi mà trông ông Sáu, ổng móm xọm thấy sợ.","Chưa tới sáu mươi mà trông ông Sáu, ông ấy móm mém thấy sợ.","Móm xọm [SEP] Móm mém má hõm cằm nhô. [SEP] Chưa tới sáu mươi mà trông ông Sáu, ổng móm xọm thấy sợ.","Chưa tới sáu mươi mà trông ông Sáu, ông ấy móm mém thấy sợ."
Coi (3),Từ cuối câu biểu thị lời đề nghị xem thử ra sao,Sao thấy không lại thấy Ba Đất hốt thử ít thang coi?,Sao không đến ông thầy lang Ba Đất bốc thử vài thang thuốc uống xem sao?,Coi (3) [SEP] Từ cuối câu biểu thị lời đề nghị xem thử ra sao [SEP] Sao thấy không lại thấy Ba Đất hốt thử ít thang coi?,Sao không đến ông thầy lang Ba Đất bốc thử vài thang thuốc uống xem sao?
Cà nhót,"Đi khập khiễng, bước thấp bước cao",phải đi cà nhót như vừa bị thương,phải đi tập tễnh như là vừa bị thương xong,"Cà nhót [SEP] Đi khập khiễng, bước thấp bước cao [SEP] phải đi cà nhót như vừa bị thương",phải đi tập tễnh như là vừa bị thương xong
Ác ôn,"ở tình trạng không thể giải thích, giải quyết được","Câu đố này ác ôn thiệt Ai mà giải cho được,","Câu đố này khó thật Ai mà giải cho được,","Ác ôn [SEP] ở tình trạng không thể giải thích, giải quyết được [SEP] Câu đố này ác ôn thiệt Ai mà giải cho được,","Câu đố này khó thật Ai mà giải cho được,"
Ủm,Rơi xuống nước sâu,"Bà Tư hay nói tới chuyện ủm hoài, tao quen tai rồi.","Bà Tư hay nói tới chuyện rơi xuống nước sâu mãi, tớ quen tai rồi.","Ủm [SEP] Rơi xuống nước sâu [SEP] Bà Tư hay nói tới chuyện ủm hoài, tao quen tai rồi.","Bà Tư hay nói tới chuyện rơi xuống nước sâu mãi, tớ quen tai rồi."
Bậy,"Qua loa, sơ sài Tạm",Ở không đóng bậy mấy cái ghế cho bọn trẻ chúng ngồi,Rảnh rỗi đóng tạm mấy cái ghế cho bọn trẻ ngồi,"Bậy [SEP] Qua loa, sơ sài Tạm [SEP] Ở không đóng bậy mấy cái ghế cho bọn trẻ chúng ngồi",Rảnh rỗi đóng tạm mấy cái ghế cho bọn trẻ ngồi
Mày,Đại từ ngôi thứ 2,Không được gọi nhau mày tao mày tớ nữa nghe không.,Không được gọi nhau mày tao mày tớ nữa nghe không.,Mày [SEP] Đại từ ngôi thứ 2 [SEP] Không được gọi nhau mày tao mày tớ nữa nghe không.,Không được gọi nhau mày tao mày tớ nữa nghe không.
Cà khum cà khum,Người luôn luôn cúi gập về trước khi di chuyển,"Tội nghiệp bà lão, cái lưng cà khum cà khum","Tội nghiệp bà lão, cái lưng cứ còng gập xuống nên phải chống gậy","Cà khum cà khum [SEP] Người luôn luôn cúi gập về trước khi di chuyển [SEP] Tội nghiệp bà lão, cái lưng cà khum cà khum","Tội nghiệp bà lão, cái lưng cứ còng gập xuống nên phải chống gậy"
Khéo,"1. Đẹp, xinh, dáng vẻ ưa nhìn.",Con bé này con nhà ai mà trông khéo thiệt.,Con bé này con nhà ai mà trông xinh xắn thật.,"Khéo [SEP] 1. Đẹp, xinh, dáng vẻ ưa nhìn. [SEP] Con bé này con nhà ai mà trông khéo thiệt.",Con bé này con nhà ai mà trông xinh xắn thật.
Gan cùng mình,"Rất can đảm, gan dạ","Thằng này gan cùng mình thiệt, dám chơi với lựu đạn","Cậu này gan dạ thật, dám nghịch cả lựu đạn","Gan cùng mình [SEP] Rất can đảm, gan dạ [SEP] Thằng này gan cùng mình thiệt, dám chơi với lựu đạn","Cậu này gan dạ thật, dám nghịch cả lựu đạn"
Ăn dầm,"Ăn ở mãi một nơi, không chịu đi đâu khác","Mấy tháng nay, hắn ăn dầm ở nhà thằng bạn, không chịu về nhà","Mấy tháng nay, hắn ăn ở lỳ mãi ở nhà thằng bạn, không chịu về nhà","Ăn dầm [SEP] Ăn ở mãi một nơi, không chịu đi đâu khác [SEP] Mấy tháng nay, hắn ăn dầm ở nhà thằng bạn, không chịu về nhà","Mấy tháng nay, hắn ăn ở lỳ mãi ở nhà thằng bạn, không chịu về nhà"
Anh em chú bác,"Quan hệ anh em giữa con của hai anh, em trai","Tôi với nó là anh em chú bác, tôi gọi cha nó bằng chú","Tôi với nó là anh em con của hai anh em trai, tôi gọi cha nó bằng chú","Anh em chú bác [SEP] Quan hệ anh em giữa con của hai anh, em trai [SEP] Tôi với nó là anh em chú bác, tôi gọi cha nó bằng chú","Tôi với nó là anh em con của hai anh em trai, tôi gọi cha nó bằng chú"
Bi,Thuốc trụ sinh Penicillin,Kì rồi bịnh tôi phải chích mấy hũ bi mới hết lận đó,Kì rồi ốm tôi phải tiêm mấy lọ thuốc pê-ni-xi-lin mới khỏi đấy,Bi [SEP] Thuốc trụ sinh Penicillin [SEP] Kì rồi bịnh tôi phải chích mấy hũ bi mới hết lận đó,Kì rồi ốm tôi phải tiêm mấy lọ thuốc pê-ni-xi-lin mới khỏi đấy
Nguể ngoải,"1. Uể oải, mệt mỏi, chớm bệnh.2. Thiếu hăng hái, nhiệt tình, nản lòng.",Đọc cái hồ sơ riết nó làm tôi nguể ngoải hết muốn tham gia.,Đọc cái hồ sơ mãi nó làm tôi oải/nản hết muốn tham gia.,"Nguể ngoải [SEP] 1. Uể oải, mệt mỏi, chớm bệnh.2. Thiếu hăng hái, nhiệt tình, nản lòng. [SEP] Đọc cái hồ sơ riết nó làm tôi nguể ngoải hết muốn tham gia.",Đọc cái hồ sơ mãi nó làm tôi oải/nản hết muốn tham gia.
Ăn hột vịt,Bài thi bị điểm không (điểm tròn như quả trứng vịt),Cậu không lo học bài thì kỳ thi này thế nào cũng có vài môn bị ăn hột vịt,Cậu không lo học bài thì kỳ thi này thế nào cũng có vài môn bị điểm không,Ăn hột vịt [SEP] Bài thi bị điểm không (điểm tròn như quả trứng vịt) [SEP] Cậu không lo học bài thì kỳ thi này thế nào cũng có vài môn bị ăn hột vịt,Cậu không lo học bài thì kỳ thi này thế nào cũng có vài môn bị điểm không
Bắt hôi,Bắt cá sót lại sau khi tát ao,Nó đi bắt hôi mà cũng được nhiều cá ghê đi,Nó đi bắt cá sót mà cũng được nhiều ghê,Bắt hôi [SEP] Bắt cá sót lại sau khi tát ao [SEP] Nó đi bắt hôi mà cũng được nhiều cá ghê đi,Nó đi bắt cá sót mà cũng được nhiều ghê
Hân hấn,"1. Hớn hở, vui sướng ra mặt.2. Quyến rũ, lôi cuốn.",Có chuyện gì vui mà mặt mày cứ hân hấn vậy em?,Có chuyện gì vui mà mặt mũi cứ hớn hở ra thế em?,"Hân hấn [SEP] 1. Hớn hở, vui sướng ra mặt.2. Quyến rũ, lôi cuốn. [SEP] Có chuyện gì vui mà mặt mày cứ hân hấn vậy em?",Có chuyện gì vui mà mặt mũi cứ hớn hở ra thế em?
Xe vua,Xe lôi đạp ở Bạc Liêu,"Tao học được cái xe vua này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái xe lôi đạp ở bạc liêu này từ hồi nhỏ, giờ vẫn nhớ.","Xe vua [SEP] Xe lôi đạp ở Bạc Liêu [SEP] Tao học được cái xe vua này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái xe lôi đạp ở bạc liêu này từ hồi nhỏ, giờ vẫn nhớ."
Trây nhớt,"Chây lười, ỳ ạch",Tụi bây thấy trây nhớt không? Tao thấy từ hồi nãy rồi.,Các bạn thấy chây lười không? Tớ thấy từ nãy rồi.,"Trây nhớt [SEP] Chây lười, ỳ ạch [SEP] Tụi bây thấy trây nhớt không? Tao thấy từ hồi nãy rồi.",Các bạn thấy chây lười không? Tớ thấy từ nãy rồi.
Đi nói,Đi hỏi vợ (lễ dạm ngõ hỏi),"Chàng hiu đi nói, lắc đầu không ưng",Anh chàng đến hỏi cưới mà cô ấy lắc đầu không đồng ý,"Đi nói [SEP] Đi hỏi vợ (lễ dạm ngõ hỏi) [SEP] Chàng hiu đi nói, lắc đầu không ưng",Anh chàng đến hỏi cưới mà cô ấy lắc đầu không đồng ý
Lướt khướt,Say bí tỉ ướt sũng.,Say lướt khướt,Say khướt,Lướt khướt [SEP] Say bí tỉ ướt sũng. [SEP] Say lướt khướt,Say khướt
Ngồi chữ ngũ,Ngồi bắt chéo chân (hình chữ ngũ).,Người lớn mà mày ngồi chữ ngũ vậy sao.,Người lớn mà mày ngồi vắt chéo chân vậy sao.,Ngồi chữ ngũ [SEP] Ngồi bắt chéo chân (hình chữ ngũ). [SEP] Người lớn mà mày ngồi chữ ngũ vậy sao.,Người lớn mà mày ngồi vắt chéo chân vậy sao.
Vằn vọc vằn vọt,Đối xử tệ Nắn bóp mạnh,"Bà Chín giải thích cho tụi nhỏ nghe về vằn vọc, tụi nhỏ gật gù.","Bà Chín giải thích cho bọn nhỏ nghe về đối xử tệ, bọn nhỏ gật gù.","Vằn vọc vằn vọt [SEP] Đối xử tệ Nắn bóp mạnh [SEP] Bà Chín giải thích cho tụi nhỏ nghe về vằn vọc, tụi nhỏ gật gù.","Bà Chín giải thích cho bọn nhỏ nghe về đối xử tệ, bọn nhỏ gật gù."
Nháp,"Ráp, sần sùi chưa bào bóng.",Mấy tấm ván bào còn nháp lắm,Mấy tấm ván bào còn ráp lắm,"Nháp [SEP] Ráp, sần sùi chưa bào bóng. [SEP] Mấy tấm ván bào còn nháp lắm",Mấy tấm ván bào còn ráp lắm
Thốn,Đau nhói Sướng tột độ,"Con Lan giải thích cho tụi nhỏ nghe về thốn, tụi nhỏ gật gù.","Con Lan giải thích cho bọn nhỏ nghe về đau nhói, bọn nhỏ gật gù.","Thốn [SEP] Đau nhói Sướng tột độ [SEP] Con Lan giải thích cho tụi nhỏ nghe về thốn, tụi nhỏ gật gù.","Con Lan giải thích cho bọn nhỏ nghe về đau nhói, bọn nhỏ gật gù."
Nhẹ phếu,Rất nhẹ (như nhẹ phều).,"Cái xuồng bận về không có đồ nhẹ phếu, nên bọn mình bơi mới nhanh được","Giải thích lý do chèo thuyền nhanh là vì thuyền trống, không chở nặng.","Nhẹ phếu [SEP] Rất nhẹ (như nhẹ phều). [SEP] Cái xuồng bận về không có đồ nhẹ phếu, nên bọn mình bơi mới nhanh được","Giải thích lý do chèo thuyền nhanh là vì thuyền trống, không chở nặng."
Đờn ca tài tử,Loại hình nhạc cổ truyền đặc trưng của Nam Bộ,"được nghe đờn ca tài tử, đặc biệt là bản Vọng Cổ","được nghe nhạc tài tử, nhất là bài Vọng cổ","Đờn ca tài tử [SEP] Loại hình nhạc cổ truyền đặc trưng của Nam Bộ [SEP] được nghe đờn ca tài tử, đặc biệt là bản Vọng Cổ","được nghe nhạc tài tử, nhất là bài Vọng cổ"
Buồn nhiễn,"Buồn tênh, buồn vì thiếu vắng cái gì đó",Còn một mình ngồi nhớ bọn nó buồn nhiễn,Còn một mình ngồi nhớ bọn nó buồn tê tái,"Buồn nhiễn [SEP] Buồn tênh, buồn vì thiếu vắng cái gì đó [SEP] Còn một mình ngồi nhớ bọn nó buồn nhiễn",Còn một mình ngồi nhớ bọn nó buồn tê tái
Ãnh ương,"(Ễnh ương) loài ếch nhái, bụng to, tiếng kêu ồn to",Trời mưa ãnh ương kêu om sòm quá,Trời mưa loài ếch nhái bụng to kêu om sòm quá,"Ãnh ương [SEP] (Ễnh ương) loài ếch nhái, bụng to, tiếng kêu ồn to [SEP] Trời mưa ãnh ương kêu om sòm quá",Trời mưa loài ếch nhái bụng to kêu om sòm quá
Cào cũng cứng,Cá lóc nhỏ cỡ ngón chân cái đến cẳng cái,chỉ trỏ những con cá lóc cào cũng bằng cẳng cái,chỉ vào những con cá quả nhỏ cỡ ngón chân cái,Cào cũng cứng [SEP] Cá lóc nhỏ cỡ ngón chân cái đến cẳng cái [SEP] chỉ trỏ những con cá lóc cào cũng bằng cẳng cái,chỉ vào những con cá quả nhỏ cỡ ngón chân cái
Đồn đột (),"Hải sâm, một loại thực phẩm quý ở biển",Nghe nói món đồn đột ngon mà đắt lắm,Nghe nói món hải sâm ngon mà đắt lắm,"Đồn đột () [SEP] Hải sâm, một loại thực phẩm quý ở biển [SEP] Nghe nói món đồn đột ngon mà đắt lắm",Nghe nói món hải sâm ngon mà đắt lắm
Vặt vãnh vạnh,"Nhỏ nhặt, không đáng","Tao học được cái vặt vãnh này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nhỏ nhặt này từ hồi nhỏ, giờ vẫn nhớ.","Vặt vãnh vạnh [SEP] Nhỏ nhặt, không đáng [SEP] Tao học được cái vặt vãnh này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nhỏ nhặt này từ hồi nhỏ, giờ vẫn nhớ."
