source_sentence,target_sentence
Đám học trò hay chơi dưới gốc cây còng mát rượi mỗi khi ra chơi.,"Vào giờ nghỉ, học sinh thường nô đùa ở nơi có bóng mát của cây me tây."
Lớn rồi mà ăn nói sàm sụa cái kiểu đó.,Lớn rồi mà ăn nói sàm sỡ/thô thiển kiểu đó.
"Ba cái bánh neo, bánh nút áo này ăn cái gì mà mua","Mấy cái bánh neo, bánh khuy áo này ăn cái gì mà mua"
"Uống bia chi mà quá hớp vầy, coi chừng lát nữa xỉn quắc cần câu.","Uống bia gì mà quá đà thế này, coi chừng lát nữa say mềm ra."
"Ông cố mà còn hổng biết, ở đó mà nói tới ông sơ.","Cụ cố còn chẳng biết, ở đó mà nói đến kị."
Làm gì tắm xong run dữ thần vậy mậy?,Vì sao tắm xong lại run lẩy bẩy như thế?
"Dì Ba nhắc vụ quán chi miết, nghe riết thành quen luôn.",Dì Ba cứ thường xuyên nhắc đến chuyện không bận tâm nên tôi đã quen.
"Mèn đét ơi, cái nhà giội cất bít bùng vầy mà sắp nhỏ vô tụ họp ca hát om trời om đất.","Trời đất ơi, cái gian nhà cơi nới thêm xây bịt bùng thế này mà lũ trẻ vào tụ họp ca hát ầm ĩ cả lên."
Kiếm được vài bò là thấy nhẹ cả người,Kiếm được vài trăm là thấy nhẹ cả người
Chị tôi bận đi làm ăn xa xứ nên vừa vắng nhà từ sáng nay nghe hôn mậy.,Chị tôi vừa mới vắng nhà từ sáng nay nghe chưa bạn.
"Đi về công cốc vầy là buồn thiệt, lần sau rút kinh nghiệm nghen.","Đi về không được gì thế này là buồn thật, lần sau rút kinh nghiệm nhé."
"Nó say xe dữ lắm, chạy có chút xíu là ói.","Nó rất dễ say xe, đi một lát là nôn."
"Cứ để chân mày tự nhiên vậy đi, nhìn thuận mắt lắm.",Để chân mày tự nhiên như vậy nhìn rất hài hòa.
Có chuyện chi sái quấy hông vui mà trông cái mặt thằng nhỏ rầu áy vậy hả mậy?,Có chuyện gì sai trái không vui mà trông khuôn mặt đứa bé rầu buồn bã vậy hả bạn?
Ổng nhậu hà rầm hà rỉ ngoài hiên từ sáng tới tối mịt.,Ông ấy nhậu lai rai liên tục ngoài hiên từ sáng đến tối mịt.
Mới khen có tiếng thôi là nó hăng dữ thần luôn.,Chỉ vừa được khen một câu là nó phấn khởi quá mức.
Trông thấy mấy bà bầu đi mà phát mệt,Trông thấy mấy bà chửa đi mà phát mệt
Mướn xe ba gác chở tủ về cho khỏe.,Nên thuê xe ba gác để vận chuyển chiếc tủ.
"Sáng nay, đúng là chạy ô mồ mắc ô má, chán thiệt","Sáng nay đúng là tránh vỏ dưa gặp vỏ dừa, xui xẻo thật sự"
Lấy giùm tui một vỉ thuốc ăm bi coi chị.,Vui lòng bán cho tôi một vỉ ampicillin.
"Hôm kía hôm kịa nào đó, nó ghé nhà chơi một bữa.","Vài ngày trước, nó có ghé thăm nhà tôi."
Mày nhảy vô nói chuyện riêng của người ta chi vậy.,Cậu xen vào chuyện riêng của người ta làm gì vậy.
Trong túi tui còn chén hoén mớ tiền lẻ sao đi chợ đây bả.,Trong túi tôi còn vẻn vẹn mớ tiền lẻ sao đi chợ đây bà.
Coi cái tướng nó đi tám tàng chưa kìa.,Nhìn bộ dạng nó ngang tàng chưa kìa.
"Nó bún thiu thấy mồ, kêu khiêng cái tủ thờ chắc hổng nổi đâu.","Người đó quá yếu, chắc không thể khiêng được cái tủ thờ."
Đợt rồi bịnh tui phải chích mấy hũ bi mới hết lận đó mậy.,Đợt rồi ốm tôi phải tiêm mấy lọ thuốc pê-ni-xi-lin mới khỏi đấy bạn.
Thằng này giỡn đạn hoài Ở tù có ngày nghen em,Thằng này toàn đùa với lửa Có ngày đi tù đấy em ạ
"người ta đã nói vậy rồi, ở đó mà còn nói chày nói cối nữa.","người ta đã nói thế rồi, ở đó mà còn cố cãi chày cãi cối nữa."
"Giọng ca phải muồi mẫn , theo nghĩa là lãng mạn","Giọng hát phải 'mùi mẫn', theo nghĩa là lãng mạn"
"Anh em với nhau mà đối xử tệ tình vầy, hổng coi ra gì hết trơn.","Anh em với nhau mà đối xử tồi tệ thế này, không coi ra gì hết."
"Già rồi, ăn mặc sặc sờ cái kiểu vầy nè, tui coi không được.","Già rồi, ăn mặc lòe loẹt kiểu thế này này, tôi nhìn không thuận mắt."
"Thằng nhỏ giựt làm cái tẹt rách tờ giấy của tao rồi mậy, coi tức hông chớ.","Đứa bé giật một cái toạc rách tờ giấy của tôi rồi bạn, xem tức không chứ."
Tao thấy ổng quai chèo mà hổng biết nói sao.,Tớ thấy ông ấy một loại bánh bột rán xoắn mà không biết nói thế nào.
Tụi con gái mới lớn đứa nào cũng nhí nhảnh thấy cưng.,Bọn con gái mới lớn đứa nào cũng điệu đà đáng yêu.
"Đừng ngại chi, coi như nhà mình đi con.","Đừng ngại gì cả, coi như nhà mình đi con."
Nồi cơm sống chín lộn xộn vậy ai nuốt nổi mậy.,Nồi cơm chỗ sống chỗ nhão như vậy thì khó ăn được.
Gởi cho nó cái thơ tay đi.,Gửi cho nó lá thư tay đi.
Cái đao nhọn lỉu vậy,Cái đao nhọn hoắt vậy
Đế thêm cho nó mấy cây để lần sau nó chừa,Đánh thêm cho nó mấy cái để lần sau nó chừa
"Kiểu xì xọp đó tui thấy hoài hà, hổng có gì lạ hết.","Kiểu trục trặc đó tôi thấy hoài à, không có gì lạ hết."
"Cái món canh này nấu thiếu vị, ăn nghe lạt lẽo quá.","Cái món canh này nấu thiếu vị, ăn nghe nhạt nhẽo quá."
Anh ở chỗ nào nói lợi em hay.,Anh ở chỗ nào nói lại em hay.
Đồ mặc cũ mèm rồi mà ảnh còn cất kỹ lắm.,Bộ quần áo đã cũ từ lâu nhưng anh ấy vẫn giữ gìn.
"Ăn nói có ngắn thiệt chớ, người lớn nhìn là thương liền.","Ăn nói có chừng mực thật chứ, người lớn nhìn là thương liền."
"Cái giường lung lay vì dạc mộng hết trơn rồi, coi chừng nghen.",Chiếc giường bị lỏng các mối nối nên rất dễ đổ sập.
"Đưa nó đi, nó muốn ăn gì thì ăn, tui khỏi ngó.","Cứ đưa cho nó, nó muốn ăn gì thì tùy."
Suốt ngày ảnh cứ mê mấy cái trò cờ bạc bịp đó.,Suốt ngày anh ấy cứ mê ba cái trò cờ bạc bịp.
"Dạo này tụi em buôn bán được hông, khá hơn chưa?",Dạo này việc buôn bán của các em có khá hơn không?
"Năm trăm hả? Tới tận năm trăm cơ à, tui nghe mà giật mình.","Năm trăm hả? Tới tận năm trăm cơ à, tôi nghe mà giật mình."
Đồ đạc trong nhà bày tùm lum hết trơn.,Đồ dùng trong nhà được để ngổn ngang khắp nơi.
"Mèn đét ơi, ngó cây da trốc gốc bự chà bá đằng kia kìa, thợ mộc đang cưa ráo trọi đem về làm cửa.","Trời đất ơi, nhìn cây đa bị bật gốc to đùng đằng kia kìa, thợ mộc đang cưa toàn bộ mang về làm cửa."
"Nó hoạt bát dữ thần, sai cái gì cũng được hết trơn.",Người đó rất tháo vát nên có thể nhờ làm nhiều việc.
Mại lại vài đường cơ coi vậy chớ ảnh còn đi cơ ngon lành lắm.,Chỉ cần ôn lại vài thế cơ là anh ấy vẫn chơi rất điêu luyện.
"Dân ở vườn người ta có thói quen nuôi heo, gà thả lúng","Dân miệt vườn người ta có thói quen nuôi lợn, gà thả rông"
"Mua hai trăm ngàn vầy là rẻ rồi, hổng thiếu một cắc nào.","Mua hai trăm nghìn thế này là rẻ rồi, không thiếu một đồng nào."
Làm ăn ba sồn ba sựt như mầy thì ai mà dám mướn,Làm ăn dở dở ương ương như cậu thì ai mà dám thuê
"Làm chuyện hại người quá trời, giờ ngủm rồi cũng đáng đời thôi.",Vì đã gây nhiều điều xấu nên kết cục đó không khiến ai bất ngờ.
Chuyện nó ăn tiền hối lộ lộ ra hết trơn rồi.,Việc anh ta nhận hối lộ đã bị phanh phui hoàn toàn.
"Mèn đét ơi, coi khứa bên rạch trúng mùa lúa trúng bắt ham kìa, nhìn oai phong hết trơn.","Trời đất ơi, xem anh bên mương được mùa lúa được mùa phát thèm kìa, nhìn oai phong hết cả."
"Cái máy chênh vênh quá, dựng lại cho ngay đi.","Chiếc máy đang bị lệch, nên đặt lại cho cân bằng."
"Nước xuôi thì đi thong thả, chèo mái dài","Nước xuôi thì đi thong thả, đẩy sải lướt mái chèo dài"
Thằng chùm cuối bị bắt là xong.,Kẻ cầm đầu bị bắt là xong.
Nó dính vô chích choác nên nhà cửa tan nát hết trơn.,Nó dính vào nghiện ngập tiêm chích nên nhà cửa tan nát hết sạch.
thằng kia xa xẩn hoài mà không ai thèm nghe.,anh kia đi lang thang mãi mà không ai thèm nghe.
"Ổng làm công an, gọi bằng ông là được rồi.","Ông ấy làm công an, gọi bằng ông là được rồi."
"Tôi có thói quen uống rượu mà không có trà đá chữa lửa tôi chịu không nổi, mau xỉn lắm","Tôi có thói quen hễ uống rượu xong mà không có trà đá giải rượu là chịu không nổi, sẽ say rất nhanh"
"Cô Năm giải thích cho tụi nhỏ nghe về xả cản, tụi nhỏ gật gù.","Cô Năm giải thích cho bọn nhỏ nghe về thả cửa, bọn nhỏ gật gù."
Bà già tôi là người Gia Định,Mẹ tôi là người Gia Định
Bà con dạt sang hai bên mở đường.,Mọi người dạt sang hai bên mở đường.
"Truyện viết hay như người trong nghề, đọc cuốn ghê.","Truyện viết sành sỏi như người trong nghề, nghe rất lôi cuốn."
"Vén cái màn lên coi, để cà sụp cà sụp","Vén cái rèm lên, cứ để nó rủ xuống lụp xụp trông u ám quá"
"Đi ngoài đường, em đừng có câu cổ anh coi kì lắm","Đi ngoài đường em đừng có bá cổ anh, trông kỳ lắm"
Áo rách tưa tưởi vậy mà còn mặc hả?,Áo rách tả tơi vậy mà còn mặc à?
Dừa váng cháo chặt xuống uống nước là được rồi còn gì nữa,Dừa non vừa đóng cùi mỏng chặt xuống uống nước là được rồi
Cái radio cũ chạy ọc ạch nghe phát bực.,Cái đài cũ chạy tậm tịt nghe phát bực.
"Dì Hai giải thích cho tụi nhỏ nghe về xà lỏn, tụi nhỏ gật gù.","Dì Hai giải thích cho bọn nhỏ nghe về quần đùi, bọn nhỏ gật gù."
Ăn nói cho nó ngay ngớm nghen con.,Ăn nói cho nó chừng mực nhé con.
"Tính ảnh hay mót tái, tiện tặn",Tính anh ấy hay nhặt nhạnh đồng nát
"Mèn đét ơi, ảnh quá vợ từ hồi trẻ, hổng chịu đi bước nữa mà lo làm lụng miết.","Trời đất ơi, anh ấy góa vợ từ hồi trẻ, không chịu đi bước nữa mà lo làm lụng suốt."
Ăn nói ba hồi vầy ai mà tin tưởng giao việc cho được.,Ăn nói thất thường thế này ai mà tin tưởng giao việc cho được.
"Chị Hai nhắc chuyện cụp đuôi sợ hãi hoài, tui nghe quen rồi.","Chị Hai hay nói tới chuyện cụp đuôi sợ hãi mãi, tớ quen tai rồi."
Đi hay hổng đi nói một tiếng cho gọn coi.,Hãy quyết định đi hay không để khỏi mất thời gian.
"Mấy đứa ngồi tứ giăng tới khuya, sáng ra vẫn đòi ăn nữa.","Mấy đứa ngồi băng đồng đến khuya, sáng ra vẫn đòi ăn nữa."
"Có chút đỉnh hà, bà con thấy riết thành quen rồi.",Chỉ có một ít thôi nên ai cũng đã quen với điều đó.
"Mấy tuần nay xe nằm ụ, có đồng vô đồng ra gì đâu.","Mấy tuần nay xe đắp chiếu, có đồng ra đồng vào gì đâu."
"Gọt trái cây sơ ý bị dao cắt trúng tay, tao ré lên vì đau.","Trong lúc gọt hoa quả, tôi bị dao cắt vào tay nên đau quá phải kêu lên."
"Bọ xít hôi lắm, đừng đụng vô.","Bọ xít hôi lắm, đừng đụng vào."
Diên biên người có biết là hay chăng?,Nơi biên thùy xa xôi người có biết hay không?
"Thím Bảy hay nói tới chuyện vố hoài, tao quen tai rồi.","Thím Bảy hay nói tới chuyện tẩu thuốc mãi, tớ quen tai rồi."
"Mê bộ đồ mới quá nên ngày nào cũng ngó, đợi Tết muốn chết luôn.",Vì thích quần áo mới nên cứ mong Tết đến thật nhanh để mặc.
"Chuyện đó qua nghe thấy nghi nghi, chẳng thật chút nào.","Chuyện đó tôi nghe thấy nghi nghi, chẳng thật chút nào."
"Con nhỏ đó, nó hay nói ghẻ môi lắm",Cô bé đó có tật hay bêu riếu xoi mói người khác lắm
Tết này em tính về nội ở chơi mấy ngày.,Tết này em dự định về quê nội trong một thời gian ngắn.
"Quần gì mà dài thòng lòng, quét đất luôn vậy trời.",Chiếc quần may quá dài đến mức chạm đất.
"Mắc gì phải bận đồ sang trọng, hịch hạc vầy tui thấy thoải mái hơn.","Việc gì phải mặc đồ sang trọng, phong cách ăn mặc giản dị thế này tôi thấy thoải mái hơn."
Thằng nhỏ giật mình thức giấc rồi é lên khóc om sòm ngoài buồng.,Đứa bé giật mình thức giấc rồi thét lên khóc om sòm ngoài phòng.
"Con gái nhà ai mà trông xinh xắn, mơn mởn quá vậy nè.","Con gái nhà ai mà trông xinh đẹp, mơn mởn quá thế này."
"Mày có im hôn, không thôi tao cấy cho mấy phát bây giờ","Có im đi không, nếu không tao đấm cho mấy phát vào đầu bây giờ"
Cậu Ba ăn diện coi sáng láng hơn cậu Hai đó.,Cậu Ba trông sang trọng hơn cậu Hai.
Con nhỏ gì mà hễ trái ý là nung nẩy bỏ đi liền hà.,Cô gái ấy cứ không vừa ý là bỏ đi ngay.
"Tui hổng có ý đó đâu, đừng hiểu lầm.","Tôi không có ý đó đâu, đừng hiểu lầm."
"Anh tra hỏi riết làm nó cứng họng, nói hổng nên lời.",Cách hỏi liên hồi của anh khiến thằng bé câm nín vì hoảng sợ.
"Cây yếu vầy, chặt hai cái là đứt.","Cây yếu thế này, chặt hai cái là đứt."
Mới gặp có mấy bữa mà nó lớn phổng phao thấy rõ.,"Chỉ sau một thời gian ngắn, cậu ấy đã lớn lên trông thấy."
"Mưa bụi rồi, ướt đồ hết đó, vô hiên nhà đứng đợi đi.","Mưa bụi rồi, ướt đồ hết đấy, vào hiên nhà đứng đợi đi."
"Lo bán heo cúi miết nên tui hổng đi được đâu hết, ở nhà giữ chuồng thôi.","Cứ lo buôn bán lợn nhỏ mãi nên tôi không đi đâu được cả, ở nhà trông chuồng thôi."
Bức tranh này giống y chang cái đang treo nhà tui luôn.,Bức tranh này giống hệt bức tranh đang treo ở nhà tôi.
"Ông ngoại tao hảo trà Bắc, sáng nào cũng phải pha một bình đậm chát nhâm nhi mới chịu.","Ông ngoại tôi thích uống trà Bắc, sáng nào cũng phải pha một ấm đặc chát nhâm nhi mới chịu."
"Chuyện năm Thìn bão lụt, ai mà còn nhớ cho nổi cha nội.","Chuyện từ thời xa lắc xa lơ, ai mà còn nhớ cho nổi ông ơi."
Ngó lên đám mạ ba rò,Nhìn lên đám mạ ba luống
Chuyện bịa đặt đâu mà má cứ nghi tui.,Chuyện bịa đặt đâu mà mẹ cứ nghi ngờ tôi.
"Hổm qua ngủ mê man, kêu cỡ nào cũng hổng hay.",Tối qua tôi ngủ quá say nên không biết gì xung quanh.
Cô ba cho mua mấy xấp giấy bao đặng bao tập vở học hành.,Cô ba cho mua mấy xấp giấy bọc vở để bọc tập vở học hành.
Ổng chửi mày rát máu luôn.,Ông ấy mắng anh xối xả luôn.
Tin em tôi vô được đại học làm cả nhà khoái hết sức.,Tin em tôi vào đại học khiến mọi người trong nhà phấn khởi.
"Cái kiểu tần mần đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu tỉ mỉ đó quen lắm rồi, ai ở đây cũng biết."
Đồ hư rồi thì quăng đi cho rộng nhà.,Đồ hỏng rồi thì vứt đi cho rộng nhà.
Rạp chiếu bóng bây giờ ế nhệ Có ai tới xem đâu,Rạp chiếu phim bây giờ ế ẩm Có ai tới xem đâu
"Trời ơi, mâm cơm đổ chổng chơ hết rồi.","Trời ơi, mâm cơm đổ lộn xộn hết rồi."
"Mèn đét ơi, chiếc xuồng cũ xì nhìn tệ lậu trớt quớt, vậy mà khứa vẫn bơi ra rạch bắt cá.","Trời đất ơi, chiếc thuyền cũ kỹ trông nát chán ngắt, thế mà anh ta vẫn chèo ra mương bắt cá."
Anh ăn lâu quá làm em chờ nãy giờ!,Anh ăn lâu quá làm em phải chờ đấy!
"Kho hoài kho miết, thịt mỡ mềm rã ra luôn.",Thịt mỡ đã trở nên cực kỳ mềm sau nhiều lần kho.
"Khứa đó hào sảng lắm, chi gì cũng mạnh tay hết.",Anh ấy rất hào phóng và không tiếc khi giúp mọi người.
Con thi thế nào mà đợt này bố thưởng xe đạp ngay.,Con thi thế nào mà đợt này có tên trên bảng vàng bố thưởng cho chiếc xe đạp ngay.
"Màn xiệc đó cũ rích hà, bà con biết ráo trọi.",Tiết mục đó không còn xa lạ với những người ở đây.
Lại mắc cái mùng xuống cho em nằm ngủ coi.,Hãy buông màn xuống để em nghỉ ngơi.
"Đi xà búp vầy vui ghê, tui khoái đi với ông.","Đi chĩa đâm cá thế này vui ghê, tôi thích đi với anh."
Lũ nhỏ chạy nhảy tung tăng ghê.,Lũ trẻ chạy nhảy tung tăng ghê.
Ai mà vô ý ngồi lên cái nón lá làm nó bẹp dúm vầy.,Ai mà vô ý ngồi lên cái nón lá làm nó bẹp dúm thế này.
Mấy lão đó cũ kỹ và bảo thủ ghê.,Mấy ông đó cũ kỹ và bảo thủ lắm.
Nưng em nó lên coi có trầy xước chỗ nào không.,Nâng em dậy xem có trầy xước chỗ nào không.
Ông nói chuyện có vỉ vạt tui mới tin.,Ông nói chuyện có đầu đuôi tôi mới tin.
Cái bến nhỏ hổng thành chợ thì mình cứ gọi là bến bạ ráo trọi hết trơn nghe hôn mậy.,Cái bến nhỏ không thành chợ thì chúng ta cứ gọi là bến bạ toàn bộ hết cả nghe chưa bạn.
"Mèn đét ơi, cà lăm ráo trọi hết trơn vầy nghe mệt tai quá chừng, lo đọc lại coi.","Trời đất ơi, lắp bắp toàn bộ hết cả thế này nghe mệt tai quá chừng, lo đọc lại xem."
"Tự dưng chú Ba bước vô bếp nấu ăn, chẳng ai nghĩ tới.",Không ai ngờ chú Ba lại vào bếp nấu cơm.
Gặt yết vầy mà lúa dong hổng đủ là buồn thiệt chớ.,Gặt thế này mà lúa thu được không đủ là buồn thật đấy chứ.
Con xe dây không đều và săn quá nên nó vặn cóc kèn hết,Sợi dây bị căng và xoắn không đều nên cuộn quéo lại thành từng cục
"Bữa hôm kía hôm kịa gì đó, nó tới ngồi chơi chút đỉnh.","Cách đây vài hôm, nó có đến chơi một lúc."
Cái đồng hồ này cầm bỏ cũng năm chỉ,Cái đồng hồ này ít nhất cũng đáng giá năm chỉ vàng
"Cái kiểu riết đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu mãi miết đó quen lắm rồi, ai ở đây cũng biết."
Ổng cũng làm bộ dắt cây viết trước túi coi oai lắm.,Anh ta cũng cố tình cài bút trước túi áo để tỏ vẻ.
Cái vết thương này nó đã liền miệng,Cái vết thương này nó đã liền miệng
Lòi cái dốt của mình ra,Lộ cái dốt của mình ra
"Bà Chín hay kể về chuyện vô giá trị, tui nghe tới phát ngán.","Bà Chín thường kể về những chuyện không đáng giá, tôi nghe mà chán cả tai."
"Ba cái hạng đó chơi hổng được đâu, né ra cho khỏe.",Những người như vậy không nên kết giao.
"Khứa đó quá vợ lâu rồi, sống thui thủi có một mình hà, thấy tội nghiệp hết trơn.","Anh đó góa vợ lâu rồi, sống thui thủi có một mình thôi, thấy tội nghiệp hết cả."
Rằm này nhà tui ăn tương chao.,Rằm này nhà tôi ăn đồ chay.
